daniel;56144332211;2.5;1.0;3.3
elisa;56199887766;3.8;4.5;2.9
felipe;56133445566;1.2;2.6;3.1
giovana;56166778899;4.5;3.2;5.0
isabela;56177889900;4.2;4.9;4.5
joao;56112345678;1.0;2.5;2.0
karina;56187654321;3.0;2.9;1.5
leonardo;56100011122;2.4;3.9;4.3
mariana;56123456789;5.0;4.9;4.8
nicolas;56134567890;1.5;1.0;3.0
olivia;56122233344;3.3;2.9;4.1
paulo;56111199988;2.5;3.0;3.5
quiteria;56198989898;4.0;4.5;3.2
rafael;56134343434;2.7;3.8;4.0
sabrina;56156565656;5.0;4.7;4.5
tiago;56178787878;1.0;1.5;2.8
ursula;56190909090;3.6;3.1;3.7
vinicius;56110101010;2.5;2.0;2.8
wanda;56123232323;4.8;4.5;4.9
xande;56145454545;2.2;1.9;3.1
yasmin;56167676767;3.4;4.2;3.8
zeca;56189898989;2.0;3.3;3.7
aline;56112312312;1.5;2.4;2.2
bernardo;56132132132;4.7;4.8;4.5
camila;56145645645;3.9;4.1;3.2
diego;56165465465;1.1;1.4;2.3
ester;56178978978;3.8;3.5;4.0
fabio;56111122233;2.9;2.3;2.7
gisele;56133344455;4.4;4.7;5.0
hugo;56166677788;2.6;3.2;3.9
ingrid;56188899900;3.3;3.7;3.6
julia;56199900011;4.5;4.0;4.2
kevin;56177788899;1.3;1.9;2.1
lara;56112121212;3.5;2.8;3.0
mateus;56145678901;2.1;3.0;3.5
natalia;56156789012;4.0;4.2;4.1
osvaldo;56167890123;1.9;2.4;3.3
priscila;56178901234;3.7;3.8;4.0
rodrigo;56189012345;2.3;2.6;3.0
simone;56190123456;4.5;4.3;4.4
tulio;56101234567;1.0;1.5;2.7
valeria;56112345679;3.6;3.2;3.9
wagner;56123456780;2.8;3.1;3.6
yuri;56134567891;1.2;2.0;2.5
zuleika;56145678902;3.9;4.0;3.8
ana;56156789013;4.1;4.5;4.6
bruno;56167890124;2.0;1.8;2.9
carla;56178901235;3.4;3.9;4.2
danilo;56189012346;2.7;3.3;3.1
ellen;56190123457;4.4;4.8;5.0
fernando;56101234568;1.5;2.2;2.4
helena;56112345680;3.0;3.5;3.7
igor;56123456781;2.9;2.5;2.6
jessica;56134567892;4.0;4.2;4.3
leandro;56145678903;3.1;2.8;3.3
monique;56156789014;4.6;4.2;4.4
nando;56167890125;2.2;2.9;3.5
odete;56178901236;3.7;3.6;4.0
pedro;56189012347;1.8;2.0;2.7
quenia;56190123458;4.0;3.9;3.8
renan;56101234569;2.5;3.0;3.2
silvia;56112345681;3.2;2.6;3.4
tania;56123456782;4.3;4.5;4.6
ulisses;56134567893;1.4;1.9;2.8
veronica;56145678904;3.8;4.1;4.2
wellington;56156789015;2.7;3.1;3.3
yasuo;56167890126;1.1;2.3;2.9
zoraide;56178901237;4.2;3.8;4.0
adriana;56189012348;3.3;3.0;3.7
brenda;56190123459;2.6;2.7;3.0
carlos;56101234570;1.9;2.2;2.6
debora;56112345682;3.6;3.4;3.5
edson;56123456783;4.1;4.0;4.3
fabiana;56134567894;1,00;1,00;1,00
